Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 33482804k(12500280k free), swap 40426976k(8624048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.528: [GC (Allocation Failure) 0.528: [DefNew: 959K->63K(960K), 0.0018015 secs] 96980K->96974K(524224K), 0.0018298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.532: [GC (Allocation Failure) 0.532: [DefNew: 959K->63K(960K), 0.0017643 secs] 97871K->97858K(524224K), 0.0017950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.536: [GC (Allocation Failure) 0.536: [DefNew: 959K->63K(960K), 0.0016611 secs] 98754K->98744K(524224K), 0.0016936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.542: [GC (Allocation Failure) 0.542: [DefNew: 959K->64K(960K), 0.0018401 secs] 99642K->99636K(524224K), 0.0018791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.546: [GC (Allocation Failure) 0.546: [DefNew: 960K->63K(960K), 0.0016357 secs] 100532K->100527K(524224K), 0.0016695 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.551: [GC (Allocation Failure) 0.551: [DefNew: 959K->63K(960K), 0.0018527 secs] 101424K->101415K(524224K), 0.0018980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.555: [GC (Allocation Failure) 0.555: [DefNew: 959K->63K(960K), 0.0018209 secs] 102311K->102304K(524224K), 0.0018590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.561: [GC (Allocation Failure) 0.561: [DefNew: 959K->63K(960K), 0.0017633 secs] 103201K->103197K(524224K), 0.0018040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.565: [GC (Allocation Failure) 0.565: [DefNew: 959K->64K(960K), 0.0019524 secs] 104093K->104084K(524224K), 0.0019915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.570: [GC (Allocation Failure) 0.570: [DefNew: 960K->63K(960K), 0.0019884 secs] 104980K->104974K(524224K), 0.0020306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.574: [GC (Allocation Failure) 0.574: [DefNew: 959K->63K(960K), 0.0016824 secs] 105870K->105864K(524224K), 0.0017309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.579: [GC (Allocation Failure) 0.579: [DefNew: 959K->64K(960K), 0.0017302 secs] 106762K->106753K(524224K), 0.0017595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.583: [GC (Allocation Failure) 0.583: [DefNew: 960K->64K(960K), 0.0018760 secs] 107649K->107640K(524224K), 0.0019075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.588: [GC (Allocation Failure) 0.588: [DefNew: 960K->63K(960K), 0.0019272 secs] 108537K->108527K(524224K), 0.0019700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.594: [GC (Allocation Failure) 0.594: [DefNew: 959K->64K(960K), 0.0016674 secs] 109423K->109415K(524224K), 0.0016988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.597: [GC (Allocation Failure) 0.597: [DefNew: 960K->63K(960K), 0.0018130 secs] 110312K->110304K(524224K), 0.0018432 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.602: [GC (Allocation Failure) 0.602: [DefNew: 959K->63K(960K), 0.0017214 secs] 111201K->111191K(524224K), 0.0017568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.606: [GC (Allocation Failure) 0.606: [DefNew: 959K->64K(960K), 0.0017483 secs] 112088K->112082K(524224K), 0.0017878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.611: [GC (Allocation Failure) 0.611: [DefNew: 960K->64K(960K), 0.0018610 secs] 112979K->112972K(524224K), 0.0018935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.615: [GC (Allocation Failure) 0.615: [DefNew: 960K->63K(960K), 0.0019672 secs] 113868K->113862K(524224K), 0.0020048 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
